key,name,iataCode,website,type,foundationMoment,emailAdress,phoneNumber,key:administrator
airline-25,Lorem ipsum dolor sit ame,ABY,http://lorem.com/ipsum,STANDARD,2000/01/01 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-26,Lorem ipsum dolor sit ame,ABZ,http://lorem.com/ipsum,STANDARD,2000/01/01 0:01,acme@lorem-ipsum.org,123456,administrator-01
airline-27,Lorem ipsum dolor sit ame,BBC,http://lorem.com/ipsum,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,123456,administrator-01
airline-28,Lorem ipsum dolor sit ame,CBC,http://lorem.com/ipsum,STANDARD,2025/01/01 0:00,acme@lorem-ipsum.org,123456,administrator-01
#emailAdress -standard variations
airline-29,Lorem ipsum dolor sit ame,DBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acmepassword@lorem-ipsum.org,123456,administrator-01
airline-30,Lorem ipsum dolor sit ame,EBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.e,123456,administrator-01
airline-31,Lorem ipsum dolor sit ame,FBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.es,123456,administrator-01
airline-32,Lorem ipsum dolor sit ame,GBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,a@b.esx,123456,administrator-01
airline-33,Lorem ipsum dolor sit ame,HBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,123456,administrator-01
airline-34,Lorem ipsum dolor sit ame,IBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,123456,administrator-01
#phoneNumber - standard variations
airline-35,Lorem ipsum dolor sit ame,JBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+123456,administrator-01
airline-36,Lorem ipsum dolor sit ame,KBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,1234567,administrator-01
airline-37,Lorem ipsum dolor sit ame,LBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567,administrator-01
airline-38,Lorem ipsum dolor sit ame,MBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,12345678,administrator-01
airline-39,Lorem ipsum dolor sit ame,NBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+12345678,administrator-01
airline-40,Lorem ipsum dolor sit ame,OBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456789,administrator-01
airline-41,Lorem ipsum dolor sit ame,PBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+123456789,administrator-01
airline-42,Lorem ipsum dolor sit ame,QBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123467891,administrator-01
airline-43,Lorem ipsum dolor sit ame,RBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567891,administrator-01
airline-44,Lorem ipsum dolor sit ame,SBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,12345678912,administrator-01
airline-45,Lorem ipsum dolor sit ame,TBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+12345678912,administrator-01
airline-46,Lorem ipsum dolor sit ame,UBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456789123,administrator-01
airline-47,Lorem ipsum dolor sit ame,VBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+123456789123,administrator-01
airline-48,Lorem ipsum dolor sit ame,WBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,1234567891234,administrator-01
airline-49,Lorem ipsum dolor sit ame,XBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567891234,administrator-01
airline-50,Lorem ipsum dolor sit ame,YBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,12345678912345,administrator-01
airline-51,Lorem ipsum dolor sit ame,ZBC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+12345678912345,administrator-01
airline-52,Lorem ipsum dolor sit ame,ACC,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456789123456,administrator-01
